mokp
ndim;t;m;n;i;nd;ncomp;time;maxnd
int;int;int;int;int;int;int;float;int
3;3;4;20;5;392;638679;0.087;2618
0;3;4;20;6;238;14368439;0.068;1335
3;3;4;20;6;238;117129;0.022;1335
0;3;4;20;7;634;78905360;0.430;3191
3;3;4;20;8;303;148819;0.023;1330
3;3;4;20;9;74;66839;0.010;649
3;1;4;50;0;9484;11260997840;2321.268;262366
3;1;3;90;9;2938;149889600;4037.642;256098
3;1;4;50;7;3905;746940896;201.122;91809
3;1;4;50;8;1496;286183094;82.107;48995
3;3;4;30;0;1182;4738177;2.309;18105
0;3;4;30;1;4964;21945099509;322.136;43058
0;1;4;50;8;1496;71609834593;1334.519;48995
0;1;4;50;0;9484;1193051500899;51769.084;262366
3;1;4;70;7;21348;60659787827;24439.087;742725
3;1;4;70;8;7873;12206443792;4088.111;253348
3;3;2;10;8;12;1539;0.000;47
3;3;2;10;9;4;1190;0.000;32
3;1;2;30;0;18;72910;0.023;510
3;1;2;30;1;14;75458;0.024;490
0;1;2;30;1;14;4753075;0.034;490
3;3;2;20;7;65;62602;0.021;638
0;3;2;20;3;37;1380751;0.011;343
3;1;2;50;5;23;395352;0.138;1442
3;3;2;30;2;79;208199;0.051;1359
3;3;2;30;4;47;157005;0.028;959
0;1;2;50;6;53;333119467;1.767;3933
0;3;2;40;0;62;70435795;0.385;1739
3;1;2;70;4;76;2400971;1.178;5176
0;3;2;40;3;120;246583521;1.325;3427
3;1;2;90;0;96;6165334;6.067;9398
3;3;2;50;4;94;1603526;0.798;4903
0;3;2;40;7;172;1743736890;11.897;8095
0;3;2;50;6;123;1114346573;7.281;5652
0;1;2;90;9;185;27674368386;277.375;22061
0;1;2;90;6;179;35405265915;460.567;27432
0;1;2;110;3;158;46163276150;639.071;29242
3;1;3;70;3;2059;49922700;397.455;98939
3;1;3;70;7;2291;39871648;455.766;103042
0;3;3;40;2;1759;20806196720;352.207;32709
0;3;3;40;4;2884;30737285115;640.909;45507
0;1;2;110;1;200;131225026323;3285.209;44686
0;3;3;50;9;4292;301425562310;11856.873;119709
0;3;3;50;5;6641;948357120152;41451.391;181253
1;3;2;10;0;12;3166;0.001;36
1;3;2;10;2;7;807;0.000;19
1;3;2;10;4;3;1115;0.001;19
1;3;2;10;7;10;4066;0.001;56
1;3;2;10;1;7;1886;0.001;31
1;1;2;30;8;28;384591;0.069;425
1;1;2;30;9;21;262852;0.048;416
1;3;2;20;0;22;51335;0.011;188
1;1;2;50;0;53;9896997;0.695;2278
1;1;2;50;6;53;25934745;1.677;3958
1;1;2;50;3;46;10499996;0.683;2102
1;1;2;50;7;70;27946128;1.760;3861
1;3;2;40;3;120;26714813;1.707;3438
1;1;2;70;0;87;94968810;6.273;6206
1;3;2;50;2;156;124748020;8.641;8126
1;1;2;70;9;112;289410184;20.993;10605
1;3;2;50;9;152;186261733;13.461;9229
1;1;2;70;6;120;402088834;29.411;11743
1;1;2;110;4;194;2029796073;173.194;25054
1;3;2;60;8;186;310442210;36.538;9639
