chub
n;m;t;i;s;opt;best;iter;time
int;int;float;int;int;float;float;int;float
100;10;0.75;3;3;58310;58391;10;0.150903
100;10;0.75;3;4;58310;58391;6;0.141762
100;10;0.75;3;5;58310;58391;9;0.153999
100;10;0.75;3;6;58310;58391;48;0.181989
100;10;0.75;3;7;58310;58391;2;0.142050
100;10;0.75;3;8;58310;58391;4;0.142405
100;10;0.75;3;9;58310;58391;4;0.150066
100;10;0.75;4;0;61966;61966;17;0.192481
100;10;0.75;4;1;61966;61966;8;0.215466
100;10;0.75;4;2;61966;61966;6;0.181978
100;10;0.75;4;3;61966;61966;38;0.214285
100;10;0.75;4;4;61966;61966;69;0.247344
100;10;0.75;4;5;61966;61966;79;0.265573
100;10;0.75;4;6;61966;61966;25;0.221330
100;10;0.75;4;7;61966;61966;73;0.258547
100;10;0.75;4;8;61966;61966;11;0.206956
100;10;0.75;4;9;61966;61966;50;0.275147
100;10;0.75;5;0;60797;60803;5;0.144026
100;10;0.75;5;1;60797;60803;0;0.153372
100;10;0.75;5;2;60797;60803;2;0.169865
100;10;0.75;5;3;60793;60803;0;0.189347
100;10;0.75;5;4;60797;60803;8;0.178609
100;10;0.75;5;5;60797;60803;1;0.163426
100;10;0.75;5;6;60797;60803;8;0.183127
100;10;0.75;5;7;60797;60803;0;0.173649
